posx, posy, velx, vely, rot, lap, checkpoint, health, relposx, relposy, relvelx, relvely, relrot, enemyHealth, relCheckpointPosx, relCheckpointPosy, relCheckpointRot, gas, rotate, boost
364.962, 272.325, -0.683864, -0.596065, 318.384, 1, 1, 66, -114.831, -35.5217, 0.368781, 1.53424, -65.5724, 23, -40.9619, -134.325, -121.425, 100, 1, 0
363.619, 272.037, -0.792206, -0.723233, 319.715, 1, 1, 66, -113.625, -34.2039, 0.659318, 1.72155, -66.4684, 23, -39.6186, -134.037, -123.249, 100, 1, 0
362.14, 271.622, -0.893894, -0.849546, 321.097, 1, 1, 66, -112.424, -32.0857, 0.923925, 1.89914, -67.0255, 23, -38.1397, -133.622, -125.166, 100, 1, 0
360.532, 271.079, -0.988919, -0.97503, 322.526, 1, 1, 66, -110.606, -30.4068, 1.19279, 2.0774, -67.8978, 23, -36.5319, -133.079, -127.176, 100, 1, 0
358.802, 270.408, -1.07727, -1.09974, 324.002, 1, 1, 66, -108.492, -28.5461, 1.44977, 2.25331, -68.7438, 23, -34.8019, -132.408, -129.276, 100, 1, 0
356.957, 269.606, -1.15895, -1.2237, 325.524, 1, 1, 66, -106.094, -26.5036, 1.69502, 2.42694, -69.5498, 23, -32.9566, -131.606, -131.465, 100, 1, 0
355.003, 268.672, -1.23401, -1.34693, 327.089, 1, 1, 66, -103.424, -24.2795, 1.92873, 2.59835, -70.3, 23, -31.0027, -130.672, -133.742, 100, 1, 0
352.947, 267.604, -1.3024, -1.46939, 328.696, 1, 1, 66, -100.493, -21.8736, 2.15102, 2.76755, -70.9755, 23, -28.9472, -129.604, -136.105, 100, 1, 0
350.797, 266.402, -1.36415, -1.59108, 330.344, 1, 1, 66, -97.3145, -19.286, 2.36206, 2.93457, -71.5538, 23, -26.7971, -128.402, -138.556, 100, 1, 0
348.56, 265.063, -1.41923, -1.71193, 332.032, 1, 1, 66, -93.899, -16.5166, 2.56194, 3.09939, -72.008, 23, -24.5597, -127.063, -141.092, 100, 1, 0
346.242, 263.586, -1.46762, -1.83191, 333.758, 1, 1, 66, -90.2588, -13.5654, 2.75079, 3.26203, -72.3051, 23, -22.2423, -125.586, -143.714, 100, 0, 0
344.686, 261.575, -1.50938, -1.95095, 333.758, 1, 1, 66, -87.2394, -10.0371, 2.92879, 3.42244, -70.321, 23, -20.6862, -123.575, -144.255, 100, 0, 0
343.088, 259.444, -1.54985, -2.06642, 333.758, 1, 1, 66, -84.0421, -6.34842, 3.10142, 3.57805, -68.0776, 23, -19.0884, -121.444, -144.825, 100, 0, 0
341.45, 257.198, -1.58911, -2.17843, 333.758, 1, 1, 66, -80.6721, -2.50409, 3.26888, 3.72898, -65.5357, 23, -17.4502, -119.198, -145.429, 100, 0, 0
339.773, 254.841, -1.6272, -2.28708, 333.758, 1, 1, 66, -77.1347, 1.49115, 3.43131, 3.87539, -62.6503, 23, -15.7727, -116.841, -146.07, 100, 0, 0
342.837, 252.282, 1.59032, -2.4554, 333.758, 1, 1, 61, -83.3681, 6.60568, -2.92531, 4.14074, -59.2274, 21, -18.8374, -114.282, -144.398, 100, 0, 0
344.339, 249.647, 1.45685, -2.55575, 333.758, 1, 1, 61, -86.0224, 11.0074, -2.57466, 4.26972, -56.4659, 21, -20.3393, -111.647, -143.433, 100, 0, 0
345.708, 246.912, 1.32739, -2.6531, 333.758, 1, 1, 61, -88.3261, 15.5382, -2.23455, 4.39483, -53.7805, 21, -21.7078, -108.912, -142.486, 100, 0, 0
